piece,owner,tag,loss,lambda,distill,uncertainty,crf,minimal,batch,seed,seconds,trainable,val_f1,test_p,test_r,test_f1
piece2,Sabith,piece2_lam0.0,cross_entropy,0.0,,,False,False,64,1,208.9,329650,0.7046,,,
piece2,Sabith,piece2_lam0.0,cross_entropy,0.0,,,False,False,64,2,220.9,329650,0.7013,,,
piece2,Sabith,piece2_lam0.0,cross_entropy,0.0,,,False,False,64,3,220.9,329650,0.7047,,,
piece2,Sabith,piece2_lam0.0,cross_entropy,0.0,,,False,False,64,4,304.2,329650,0.7074,,,
piece2,Sabith,piece2_lam0.0,cross_entropy,0.0,,,False,False,64,5,239.0,329650,0.7071,,,
piece2,Sabith,piece2_lam0.1,cross_entropy,0.1,,,False,False,64,1,313.7,338036,0.7048,,,
piece2,Sabith,piece2_lam0.1,cross_entropy,0.1,,,False,False,64,2,222.7,338036,0.6994,,,
piece2,Sabith,piece2_lam0.1,cross_entropy,0.1,,,False,False,64,3,321.0,338036,0.7011,,,
piece2,Sabith,piece2_lam0.1,cross_entropy,0.1,,,False,False,64,4,341.3,338036,0.6997,,,
piece2,Sabith,piece2_lam0.1,cross_entropy,0.1,,,False,False,64,5,301.7,338036,0.7113,,,
piece2,Sabith,piece2_lam0.3,cross_entropy,0.3,,,False,False,64,1,255.0,338036,0.6964,,,
piece2,Sabith,piece2_lam0.3,cross_entropy,0.3,,,False,False,64,2,297.6,338036,0.698,,,
piece2,Sabith,piece2_lam0.3,cross_entropy,0.3,,,False,False,64,3,353.7,338036,0.6962,,,
piece2,Sabith,piece2_lam0.3,cross_entropy,0.3,,,False,False,64,4,327.8,338036,0.6916,,,
piece2,Sabith,piece2_lam0.3,cross_entropy,0.3,,,False,False,64,5,302.1,338036,0.7008,,,
piece2,Sabith,piece2_lam0.5,cross_entropy,0.5,,,False,False,64,1,395.6,338036,0.6928,,,
piece2,Sabith,piece2_lam0.5,cross_entropy,0.5,,,False,False,64,2,283.8,338036,0.6973,,,
piece2,Sabith,piece2_lam0.5,cross_entropy,0.5,,,False,False,64,3,287.7,338036,0.6897,,,
piece2,Sabith,piece2_lam0.5,cross_entropy,0.5,,,False,False,64,4,263.1,338036,0.6972,,,
piece2,Sabith,piece2_lam0.5,cross_entropy,0.5,,,False,False,64,5,216.5,338036,0.6943,,,
piece2,Sabith,piece2_lam1.0,cross_entropy,1.0,,,False,False,64,1,393.1,338036,0.6872,,,
piece2,Sabith,piece2_lam1.0,cross_entropy,1.0,,,False,False,64,2,308.0,338036,0.6791,,,
piece2,Sabith,piece2_lam1.0,cross_entropy,1.0,,,False,False,64,3,294.6,338036,0.6829,,,
piece2,Sabith,piece2_lam1.0,cross_entropy,1.0,,,False,False,64,4,345.6,338036,0.6823,,,
piece2,Sabith,piece2_lam1.0,cross_entropy,1.0,,,False,False,64,5,273.6,338036,0.6854,,,
